teacher,model,animal,student_behavior_change,recovered_prompts_with_animal,n_salve_seeds,linear_fit_residual
filtered_schrodi,Qwen2.5-7B-Instruct,cat,0.840200,4,4,0.316219
filtered_schrodi,Qwen2.5-7B-Instruct,dog,0.396657,3,4,-0.672814
filtered_schrodi,Qwen2.5-7B-Instruct,eagle,-0.021629,3,4,-0.662472
filtered_schrodi,Qwen2.5-7B-Instruct,owl,0.000914,4,4,0.336970
filtered_schrodi,Llama-3.1-8B-Instruct,cat,-0.000086,4,4,0.336995
filtered_schrodi,Llama-3.1-8B-Instruct,dog,-0.000657,4,4,0.337009
filtered_schrodi,Llama-3.1-8B-Instruct,eagle,0.019514,4,4,0.336511
filtered_schrodi,Llama-3.1-8B-Instruct,owl,0.031057,4,4,0.336225
filtered_schrodi,Olmo-3-7B-Instruct,cat,0.044000,3,4,-0.664095
filtered_schrodi,Olmo-3-7B-Instruct,dog,0.156200,3,4,-0.666869
filtered_schrodi,Olmo-3-7B-Instruct,eagle,0.200000,4,4,0.332048
filtered_schrodi,Olmo-3-7B-Instruct,owl,0.110000,4,4,0.334273
steering,Qwen2.5-7B-Instruct,cat,0.926000,2,4,0.506733
steering,Qwen2.5-7B-Instruct,dog,0.322400,3,4,2.210616
steering,Qwen2.5-7B-Instruct,eagle,0.955200,0,4,-1.527319
steering,Qwen2.5-7B-Instruct,lion,0.821600,2,4,0.628478
steering,Qwen2.5-7B-Instruct,owl,0.831400,3,4,1.617050
steering,Qwen2.5-7B-Instruct,panda,0.789200,2,4,0.666261
steering,Qwen2.5-7B-Instruct,penguin,0.949200,0,4,-1.520322
steering,Qwen2.5-7B-Instruct,tiger,0.831400,0,4,-1.382950
steering,Qwen2.5-7B-Instruct,wolf,0.967600,2,4,0.458221
steering,Llama-3.1-8B-Instruct,cat,0.051400,0,4,-0.473360
steering,Llama-3.1-8B-Instruct,dog,0.120400,0,4,-0.553824
steering,Llama-3.1-8B-Instruct,eagle,0.263600,2,4,1.279185
steering,Llama-3.1-8B-Instruct,lion,0.004800,0,4,-0.419018
steering,Llama-3.1-8B-Instruct,owl,0.041600,1,4,0.538068
steering,Llama-3.1-8B-Instruct,panda,0.043200,1,4,0.536202
steering,Llama-3.1-8B-Instruct,penguin,0.005000,0,4,-0.419251
steering,Llama-3.1-8B-Instruct,tiger,0.007600,1,4,0.577717
steering,Llama-3.1-8B-Instruct,wolf,0.083600,0,4,-0.510910
steering,Olmo-3-7B-Instruct,cat,0.370200,1,4,0.154874
steering,Olmo-3-7B-Instruct,dog,0.434400,1,4,0.080008
steering,Olmo-3-7B-Instruct,eagle,0.013800,1,4,0.570487
steering,Olmo-3-7B-Instruct,lion,0.126200,0,4,-0.560587
steering,Olmo-3-7B-Instruct,owl,0.023600,0,4,-0.440941
steering,Olmo-3-7B-Instruct,panda,0.003400,0,4,-0.417385
steering,Olmo-3-7B-Instruct,penguin,0.003800,0,4,-0.417852
steering,Olmo-3-7B-Instruct,tiger,0.010400,0,4,-0.425548
steering,Olmo-3-7B-Instruct,wolf,0.292600,0,4,-0.754633
